CV_CCT|CV_TURNO|TURNO|NOMBRECT|CV_ENT_ADMNISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|V63|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V146|V147|V148|V149|V150|V151|FECHA_ENTREGA|
32KJN0768I|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|038|PINOS|0274|LAS JABONERAS|CALLE LAS JABONERAS|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||4|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17/01/2018 0:00:00|
32KJN0769H|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|038|PINOS|0381|LA CARBONERA|CALLE LA CARBONERA|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|4|1|5|0|0|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|4|10|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|2|0|3|0|0|2|0|0|2|0|0|3|2|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|18/12/2017 0:00:00|
32KJN0771W|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|043|SUSTICACÁN|0004|LOS CUERVOS|CALLE LOS CUERVOS|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|1|0|1|0|0|0|0|0|0|0|0|0|3|0|3|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|1|6|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1|3|0|0|4|0|1|0|1|0|2|0|2|3|1|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0772V|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|044|TABASCO|0052|VARAL DE ABAJO (EL VARAL)|CALLE VARAL DE ABAJO|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|2|2|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|1|1|2|1|0|0|4|1|2|1|1|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0776R|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|052|VILLA GARCÍA|0049|EL TEPETATILLO|CALLE JOSE MARIA MORELOS|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|1|0|1|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|1|3|4|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|6|10|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|1|1|0|2|1|0|2|2|0|5|1|0|3|3|0|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0805W|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|010|FRESNILLO|0318|ERMITA DE GUADALUPE|CALLE ERMITA DE GUADALUPE (MPIO.SAIN ALTO)|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|3|0|3|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|0|6|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|4|2|0|6|0|0|0|0|0|0|0|0|4|2|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|18/12/2017 0:00:00|
32KJN0806V|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|031|MONTE ESCOBEDO|0011|BERRENDOS|CALLE BERRENDOS|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||10|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|3|3|0|0|6|1|0|1|0|0|2|1|3|4|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|12/01/2018 0:00:00|
32KJN0807U|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|049|VALPARAÍSO|0036|EL REFUGIO (COYOTES)|CALLE EL REFUGIO (COYOTES)|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|4|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1|0|2|0|3|0|0|1|0|0|1|0|1|1|2|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|17/01/2018 0:00:00|
32KJN0809S|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|049|VALPARAÍSO|0101|SAN DIEGO|CALLE SAN DIEGO|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||0|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|17/01/2018 0:00:00|
32KJN0818Z|1|MATUTINO|PREESCOLAR COMUNITARIO|32|ZACATECAS|32|ZACATECAS|009|CHALCHIHUITES|0008|ESTACIÓN DE CANUTILLO|CALLE ESTACION CANUTILLO|0|PÚBLICO|FEDERAL|2|BÁSICA|1|PREESCOLAR|2|COMUNITARIO|0|NO APLICA|0|NO APLICA||||10|I2017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|1|0|2|2|0|0|4|0|2|2|1|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|12/01/2018 0:00:00|
