CV_CCT|CV_TURNO|TURNO|NOMBRECT|C_NOM_ENT|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|TIPO|NIVEL|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|ZONA|JEFSEC|SERVREG|CV_ESTATUS_CAPTURA|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V35|V36|V37|V38|V39|V40|FECHA_ENTREGA|
32FIZ0056O|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.56|ZACATECAS|047|TEÚL DE GONZÁLEZ ORTEGA|0001|TEÚL DE GONZÁLEZ ORTEGA|PROLONGACIÓN ATOLINGA|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0012X|32ADG0004D|0|I2017|6|16|6|1|30|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|1|0|0|1|1|1|1|1|0|0|0|1|1|1|11/10/2017 0:00:00|
32FIZ0057N|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.57|ZACATECAS|048|TLALTENANGO DE SÁNCHEZ ROMÁN|0001|TLALTENANGO DE SÁNCHEZ ROMÁN|PROLONGACIÓN ATOLINGA (BARRIO EL OBISPO)|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0012X|32ADG0004D|0|I2017|12|14|12|2|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|1|0|1|0|0|0|1|1|0|1|1|1|1|1|31/10/2017 0:00:00|
32FIZ0058M|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.58|ZACATECAS|049|VALPARAÍSO|0111|SAN JUAN CAPISTRANO|CALLE SAN JUAN CAPISTRANO|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0009J|32ADG0026P|0|I2017|7|18|7|5|0|0|1|1|0|0|0|0|1|1|0|0|0|0|2|2|1|0|0|0|0|0|1|0|0|1|1|0|0|1|0|0|0|0|0|0|01/11/2017 0:00:00|
32FIZ0059L|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.59|ZACATECAS|049|VALPARAÍSO|0001|VALPARAÍSO|AVENIDA RIGOBERTO VALDEZ|123|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0009J|32ADG0026P|0|I2017|6|14|6|0|40|1|0|1|0|0|0|1|0|1|0|0|0|2|0|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|0|1|0|1|1|1|30/10/2017 0:00:00|
32FIZ0060A|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.60|ZACATECAS|049|VALPARAÍSO|0001|VALPARAÍSO|CALLE LAZARO CARDENAS|8|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0009J|32ADG0026P|0|I2017|7|20|7|0|20|1|0|1|0|0|0|1|0|1|0|0|0|2|0|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|1|0|1|1|1|31/10/2017 0:00:00|
32FIZ0061Z|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.61|ZACATECAS|049|VALPARAÍSO|0114|J. JESÚS GONZÁLEZ ORTEGA (SAN MATEO)|CALLE SAN MATEO|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0009J|32ADG0026P|0|I2017|8|9|8|0|30|0|1|1|0|0|0|1|0|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|1|1|0|0|0|0|1|1|1|01/11/2017 0:00:00|
32FIZ0062Z|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.62|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0013W|32ADG0010O|0|I2017|14|15|14|1|15|1|0|1|0|0|0|1|0|1|0|0|0|2|0|2|1|0|0|0|1|0|0|0|1|0|1|1|0|1|0|1|0|1|0|0|25/10/2017 0:00:00|
32FIZ0063Y|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM. 63|ZACATECAS|056|ZACATECAS|0001|ZACATECAS|CALLE ANTIGUA CARRETERA PANAMERICANA KILOMETROS 2.5|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0013W|32ADG0010O|0|I2017|8|9|8|0|45|1|0|1|0|0|0|1|0|1|0|0|0|2|0|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|08/11/2017 0:00:00|
32FIZ0064X|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.64|ZACATECAS|024|LORETO|0001|LORETO|PROLONGACIÓN VALLE REAL|0|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0007L|32ADG0009Z|0|I2017|10|13|10|1|30|1|0|1|0|0|0|0|1|1|0|0|0|1|1|2|1|0|0|0|0|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|22/10/2017 0:00:00|
32FIZ0065W|4|DISCONTINUO|SUPERVISION DE ZONA DE EDUCACION PRIMARIA NUM.65|ZACATECAS|038|PINOS|0001|PINOS|CARRETERA PINOS-OJUELOS EL BAJIO SUR|26|PÚBLICO|FEDERAL TRANSFERIDO||||0||0|||32FJS0011Y|32ADG0007A|0|I2017|14|18|13|0|45|1|0|1|1|0|1|0|1|1|0|0|0|2|1|3|1|0|0|0|0|0|1|0|0|1|1|0|1|1|0|1|0|1|1|1|22/10/2017 0:00:00|
